paragraph_id,comp_00,comp_01,comp_02,comp_03,comp_04,comp_05,comp_06,comp_07,comp_08,comp_09
0,5.329038316108333e-05,0.00038852114831837447,5.584251414285942e-07,0.0001416018838646963,1.4985737023351135e-08,0.0004580689418858656,0.047056487625355733,0.0004884698427725147,1.984113958265229e-05,0.9513931456242484
1,2.328579654545151e-16,1.2034073753681793e-16,4.337780724957238e-17,5.607005415765911e-18,2.8629675361485796e-20,0.9999999999972715,3.6752650811940083e-16,5.010644403669761e-16,9.370399246442838e-18,2.7845281887030343e-12
2,5.3477654479600394e-05,0.00040038898111211235,2.048840090818085e-06,0.00014448849467655855,0.00020283589336190342,0.0004676540611016377,0.04729401947896594,0.0004967071356392711,1.9910600958872395e-05,0.950918468859662
3,3.1887976370455166e-08,1.7029604167744781e-07,3.581746756256966e-10,1.2857860246202053e-08,3.7246930126940086e-11,2.371609159423971e-07,7.346460576638212e-07,0.9999398499918327,5.835391319724455e-09,5.895692843489637e-05
4,6.391784594318078e-05,0.00040131141099040713,3.3928328886632194e-06,0.00014463174414628067,0.00024079967410635142,0.0004705490149762697,0.04736594379303166,0.0004980476523312202,1.994876534546044e-05,0.9507914572661342
5,9.386126538150733e-19,4.749837566256473e-18,1.914409909999701e-20,0.9999999981509973,2.0101401954004208e-21,1.8490444245117978e-09,2.3246620706775664e-16,4.540875874222005e-18,4.296186921491276e-19,1.2043090035789115e-14
6,5.3473830372867906e-05,0.0004001546585035318,1.9985588137753543e-06,0.00020311283168529418,0.00017146837183708858,0.0004674650821582985,0.047261691866787234,0.0004965451085026213,1.9909182271429746e-05,0.95092418050906
7,0.0002736976027498575,0.010678455321355989,3.470661936202794e-06,0.0005539099710643931,7.397502027665877e-07,0.0005915359593225598,0.04656085933719831,0.0005064052196652124,7.342103351268347e-05,0.9407575051430487
8,0.00017752849782124293,0.0011895657462981171,6.217220272706747e-05,0.00021353833461410597,5.670751287335136e-07,0.007916576116615753,0.032403880114878277,0.00101272469671684,4.29152071774444e-05,0.9569805320080182
9,0.0006673302979958027,0.0009190425796774172,5.619349473625283e-06,2.4612670371356653e-05,2.2412627497685284e-07,0.09529516165279174,0.004865555789752305,0.0007748620783091354,0.00028442752907669307,0.8971631639262819
10,5.3477654479600394e-05,0.00040038898111211235,2.048840090818085e-06,0.00014448849467655855,0.00020283589336190342,0.0004676540611016377,0.04729401947896594,0.0004967071356392711,1.9910600958872395e-05,0.950918468859662
